name,online_order,book_table,rate,votes,rest_type,cuisines,cost,type,city_location
Rang De Basanthi,1,0,3.7,434,QuickBites,NorthIndian SouthIndian Chinese,400.0,Dine-out,koramangala4thblock
Sri Vishnu Upahar,0,0,3.6,28,QuickBites,NorthIndian SouthIndian,250.0,Dine-out,koramangala4thblock
Daily Bread,0,0,2.7,53,Bakery QuickBites,Bakery FastFood Italian,600.0,Dine-out,koramangala4thblock
Pizza Stop,1,0,3.9,241,QuickBites,Pizza Italian,600.0,Dine-out,koramangala4thblock
KF's Biryani's and Kababs,1,0,3.4,17,QuickBites,Biryani Kebab,400.0,Dine-out,koramangala4thblock
Maven Foods,0,0,3.6,12,QuickBites,Continental NorthIndian SouthIndian,650.0,Dine-out,koramangala4thblock
Kaati Zone,1,0,3.4,6,QuickBites,FastFood Biryani Rolls,350.0,Dine-out,koramangala6thblock koramangala4thblock
Hasini Foods,0,0,2.9,21,QuickBites,Andhra Chinese NorthIndian,450.0,Dine-out,koramangala4thblock
The Tiffin Express,0,0,2.6,16,QuickBites,SouthIndian,250.0,Dine-out,koramangala4thblock
WOW! Momo,1,0,3.9,151,FoodCourt,Tibetan Momos,400.0,Dine-out,koramangala4thblock
The Black Pearl,0,1,4.7,10503,CasualDining Bar,NorthIndian European Mediterranean,1400.0,Dine-out,koramangala5thblock koramangala4thblock
Truffles,0,0,4.7,14704,Cafe CasualDining,Cafe American Burger Steak,900.0,Dine-out,koramangala5thblock koramangala4thblock
The Bier Library,1,1,4.3,559,Microbrewery CasualDining,Continental NorthIndian Pizza BBQ,2000.0,Dine-out,koramangala6thblock koramangala4thblock
Koramangala Social,1,0,4.6,4689,Lounge,American NorthIndian Chinese FingerFood,1500.0,Dine-out,koramangala7thblock koramangala4thblock
XOOX Brewmill,0,1,4.4,1562,Microbrewery CasualDining,ModernIndian European Asian,2000.0,Dine-out,koramangala5thblock koramangala4thblock
Gilly's Restobar,0,1,4.5,3912,Pub CasualDining,FingerFood Continental NorthIndian,1000.0,Dine-out,koramangala5thblock koramangala4thblock
Bombay Adda,0,1,4.4,2355,CasualDining Bar,ModernIndian,1100.0,Dine-out,koramangala7thblock koramangala4thblock
Buff Buffet Buff,1,1,4.5,3161,CasualDining Bar,NorthIndian Chinese Continental Thai Salad,1500.0,Dine-out,koramangala5thblock koramangala4thblock
Boho,0,1,4.2,1750,CasualDining,Continental Asian American NorthIndian Desserts,1200.0,Dine-out,koramangala5thblock koramangala4thblock
The Reservoire,0,1,4.6,2579,Bar CasualDining,Continental NorthIndian Chinese American,1300.0,Dine-out,koramangala5thblock koramangala4thblock
Indigo XP,0,0,4.2,2368,Pub,FingerFood Continental Asian NorthIndian,1400.0,Dine-out,koramangala5thblock koramangala4thblock
Ulavacharu,1,1,4.2,147,CasualDining,Andhra NorthIndian Chinese,900.0,Dine-out,koramangala5thblock koramangala4thblock
Sultans of Spice,1,1,4.5,3467,CasualDining,NorthIndian Mughlai Salad,1300.0,Dine-out,koramangala5thblock koramangala4thblock
Fenny's Lounge And Kitchen,0,1,4.6,6371,Bar CasualDining,Mediterranean Pizza Continental Seafood Salad,1600.0,Dine-out,koramangala7thblock koramangala4thblock
Brooks and Bonds Brewery,1,1,4.5,3950,CasualDining Microbrewery,Continental Mediterranean NorthIndian Chinese FingerFood,1600.0,Dine-out,koramangala5thblock koramangala4thblock
Sharief Bhai,0,1,4.4,1557,CasualDining,Mughlai Biryani,700.0,Dine-out,koramangala5thblock koramangala4thblock
ECHOES Koramangala,0,0,4.7,3214,Cafe CasualDining,Chinese American Continental Italian NorthIndian,750.0,Dine-out,koramangala5thblock koramangala4thblock
Dyu Art Cafe,0,0,4.5,3843,Cafe,Cafe Italian FastFood,800.0,Dine-out,koramangala5thblock koramangala4thblock
House Of Commons,0,1,4.7,4441,Bar,Continental Asian NorthIndian,1000.0,Dine-out,koramangala5thblock koramangala4thblock
Foxtrot - House of Subculture,0,1,4.4,374,Cafe Lounge,Cafe American Asian NorthIndian,1000.0,Dine-out,koramangala3rdblock koramangala4thblock
Asia Kitchen By Mainland China,1,1,4.9,2227,CasualDining Bar,Asian Chinese Thai Momos,1500.0,Dine-out,koramangala5thblock koramangala4thblock
Barbeque Nation,0,1,4.7,3625,CasualDining,NorthIndian European Mediterranean BBQ Kebab,1600.0,Dine-out,koramangala1stblock koramangala4thblock
Chianti,0,1,4.7,4857,CasualDining,Italian,1500.0,Dine-out,koramangala5thblock koramangala4thblock
Drava,0,1,4.3,114,Lounge,Pizza Continental NorthIndian Asian,1500.0,Dine-out,koramangala5thblock koramangala4thblock
Roots,1,1,4.5,1888,CasualDining Bar,NorthIndian SouthIndian Chinese Continental Mangalorean,1200.0,Dine-out,koramangala1stblock koramangala4thblock
The Boozy Griffin,0,1,4.6,4986,CasualDining Pub,European Continental,1800.0,Dine-out,koramangala5thblock koramangala4thblock
Meghana Foods,1,0,4.4,7232,CasualDining,Biryani Seafood Andhra NorthIndian,600.0,Dine-out,koramangala5thblock koramangala4thblock
Om Made Cafe,0,0,4.1,2732,Cafe,Cafe Continental European Juices,1300.0,Dine-out,koramangala5thblock koramangala4thblock
Gramin,1,0,4.3,3458,CasualDining,NorthIndian,600.0,Dine-out,koramangala7thblock koramangala4thblock
Punjab Bistro,1,1,4.4,460,CasualDining Bar,NorthIndian,1500.0,Dine-out,koramangala7thblock koramangala4thblock
Simon Says Brew Works,0,1,4.5,1991,Microbrewery CasualDining,Continental American Italian ModernIndian Pizza Burger,1400.0,Dine-out,koramangala5thblock koramangala4thblock
Bonsouth,1,1,4.2,2620,CasualDining,Chettinad Andhra Kerala,1300.0,Dine-out,koramangala5thblock koramangala4thblock
By The Blue - Grand Mercure,0,1,4.1,786,CasualDining,NorthIndian Mughlai,1500.0,Dine-out,koramangala3rdblock koramangala4thblock
Happy Brew,0,1,4.0,2158,Lounge,Continental American Chinese BBQ Salad,1000.0,Dine-out,koramangala5thblock koramangala4thblock
Bathinda Junction,1,1,4.1,1250,CasualDining,NorthIndian,600.0,Dine-out,koramangala5thblock koramangala4thblock
Toscano,1,1,4.5,718,CasualDining,Italian Salad,1500.0,Dine-out,koramangala7thblock koramangala4thblock
Crawl Street,1,1,4.3,2571,Bar,Continental FingerFood NorthIndian Chinese,1200.0,Dine-out,koramangala5thblock koramangala4thblock
Nagarjuna,0,0,4.3,2304,CasualDining,Andhra NorthIndian Biryani,800.0,Dine-out,koramangala5thblock koramangala4thblock
Zee5 Loft,1,0,4.4,362,Cafe,Cafe NorthIndian Pizza Sandwich Salad,500.0,Dine-out,koramangala6thblock koramangala4thblock
The Old Fashioned Bar,0,1,4.5,569,Bar,FingerFood NorthIndian Continental,1000.0,Dine-out,koramangala6thblock koramangala4thblock
Beer Adda,1,1,4.3,549,CasualDining Pub,NorthIndian Chinese Pizza,1000.0,Dine-out,koramangala5thblock koramangala4thblock
Tim Tai,1,1,4.4,3674,CasualDining,Chinese Thai Asian Malaysian Vietnamese SriLankan Burmese,1400.0,Dine-out,koramangala5thblock koramangala4thblock
Blue Tokai Coffee Roasters,1,0,4.0,74,Cafe,Cafe Coffee,400.0,Dine-out,koramangala8thblock koramangala4thblock
Sixth Avenue Cafe And Patisserie,0,0,4.4,174,Cafe DessertParlor,Cafe Italian Desserts,600.0,Dine-out,koramangala5thblock koramangala4thblock
Big Wong XL,0,1,4.5,685,CasualDining,Chinese Sushi Asian Thai,1400.0,Dine-out,koramangala5thblock koramangala4thblock
B-hive,0,1,4.3,1550,Pub,FingerFood NorthIndian,1200.0,Dine-out,koramangala1stblock koramangala4thblock
Harry's Bar + Cafe,1,1,4.2,1367,CasualDining Bar,Asian American Mexican,1400.0,Dine-out,koramangala7thblock koramangala4thblock
A Hole Lotta Love Cafe,1,0,4.3,2871,Cafe,Cafe American Burger Sandwich Beverages,600.0,Dine-out,koramangala5thblock koramangala4thblock
The Smoke Co.,1,1,4.4,520,CasualDining,American European,2500.0,Dine-out,koramangala6thblock koramangala4thblock
Kritunga Restaurant,0,0,3.8,1161,CasualDining,Andhra Biryani NorthIndian Chinese,650.0,Dine-out,koramangala5thblock koramangala4thblock
Barleyz,0,0,3.7,4650,Lounge Microbrewery,NorthIndian Continental Chinese,2000.0,Dine-out,koramangala6thblock koramangala4thblock
China Pearl,1,1,4.4,1854,CasualDining,Chinese,1100.0,Dine-out,koramangala6thblock koramangala4thblock
Salt - Indian Restaurant Bar & Grill,1,1,4.4,679,CasualDining,NorthIndian Mughlai Biryani,1500.0,Dine-out,koramangala7thblock koramangala4thblock
Bistro Claytopia,1,1,4.1,1853,Cafe,Cafe American Italian Burger,600.0,Dine-out,koramangala1stblock koramangala4thblock
Dice N Dine,1,1,4.3,1805,CasualDining Cafe,Continental Cafe Italian FastFood Steak,900.0,Dine-out,koramangala5thblock koramangala4thblock
Empire Restaurant,1,0,4.1,6937,CasualDining,NorthIndian Mughlai SouthIndian Chinese,750.0,Dine-out,koramangala5thblock koramangala4thblock
Chinita Real Mexican Food,0,0,4.5,733,CasualDining,Mexican,1200.0,Dine-out,koramangala5thblock koramangala4thblock
Cafe Thulp,1,0,4.1,3006,Cafe,Cafe Burger Italian Salad,1000.0,Dine-out,koramangala1stblock koramangala4thblock
Royal Treat,0,0,4.1,439,CasualDining,NorthIndian Chinese Biryani,500.0,Dine-out,koramangala5thblock koramangala4thblock
Karavali Grand,1,0,3.7,26,CasualDining,Mangalorean Seafood NorthIndian Chinese,600.0,Dine-out,koramangala5thblock koramangala4thblock
Mr. Beans - Home Cafe,1,1,4.2,2714,Cafe,Cafe Continental Italian,1000.0,Dine-out,koramangala3rdblock koramangala4thblock
Kobe Sizzlers,0,1,4.1,1794,CasualDining,American Continental FastFood Steak,1000.0,Dine-out,koramangala5thblock koramangala4thblock
YORK St.,1,0,4.4,949,Cafe,Cafe European Continental,900.0,Dine-out,koramangala5thblock koramangala4thblock
Koshe Kosha,1,0,4.0,576,CasualDining,Bengali Seafood,600.0,Dine-out,koramangala1stblock koramangala4thblock
Kopper Kadai,1,1,4.1,1697,CasualDining,NorthIndian Chinese,1200.0,Dine-out,koramangala5thblock koramangala4thblock
Fava Bistro,1,1,4.4,386,CasualDining Bar,Mediterranean Pizza Italian Beverages,1500.0,Dine-out,koramangala5thblock koramangala4thblock
Roundup Cafe,1,1,4.2,494,Cafe,Cafe Continental Beverages,800.0,Dine-out,koramangala5thblock koramangala4thblock
Bamey's Restro Cafe,1,0,4.2,534,CasualDining,Chinese Singaporean Thai Asian Nepalese Momos,600.0,Dine-out,koramangala5thblock koramangala4thblock
What's In A Name,1,1,4.1,1788,Pub,FingerFood Asian European Italian,1200.0,Dine-out,koramangala5thblock koramangala4thblock
Hungry Hippie,0,1,4.3,1470,Cafe,Cafe Continental Italian Burger,800.0,Dine-out,koramangala5thblock koramangala4thblock
Noodle Panda,1,0,4.3,340,CasualDining,Chinese Indonesian Japanese Malaysian Thai Vietnamese Momos,800.0,Dine-out,koramangala5thblock koramangala4thblock
Nuts Over Salads Cafe,1,1,4.5,208,Cafe,Cafe Salad,800.0,Dine-out,koramangala5thblock koramangala4thblock
Market Table,0,1,4.5,548,Cafe,Cafe Continental Mediterranean Beverages,900.0,Dine-out,koramangala5thblock koramangala4thblock
Mimansa @ Foxtrot,1,1,4.4,192,Cafe,Cafe,1000.0,Dine-out,koramangala3rdblock koramangala4thblock
Baba Chatkora,1,0,4.2,822,CasualDining,NorthIndian,1000.0,Dine-out,koramangala6thblock koramangala4thblock
Karama Restaurant,1,0,4.1,1567,CasualDining,Arabian NorthIndian Beverages,750.0,Dine-out,koramangala5thblock koramangala4thblock
Bundar,0,0,4.1,2449,Cafe,Cafe Burger FastFood Desserts,700.0,Dine-out,koramangala6thblock koramangala4thblock
Wok Paper Scissors,1,0,4.3,1593,CasualDining,Asian Malaysian Chinese Thai Momos,550.0,Dine-out,koramangala5thblock koramangala4thblock
Carrots,1,1,4.1,601,CasualDining,Italian NorthIndian HealthyFood Desserts,1100.0,Dine-out,koramangala6thblock koramangala4thblock
Lot Like Crepes,1,0,4.6,1027,Cafe DessertParlor,Cafe Desserts Continental,550.0,Dine-out,koramangala7thblock koramangala4thblock
Magnolia,1,1,4.1,675,CasualDining,Chinese Thai Asian,900.0,Dine-out,koramangala3rdblock koramangala4thblock
Hunan,0,1,4.3,2248,CasualDining,Chinese Thai Momos,1100.0,Dine-out,koramangala5thblock koramangala4thblock
Anupam's Coast II Coast,1,0,4.1,845,CasualDining,Seafood Mangalorean NorthIndian Chinese,700.0,Dine-out,koramangala6thblock koramangala4thblock
Tibetan Mother's Kitchen,1,0,4.0,960,CasualDining,Tibetan Chinese Momos,500.0,Dine-out,koramangala7thblock koramangala4thblock
Tangerine - Davanam Sarovar Portico Suites,1,1,4.0,151,CasualDining,Continental Italian NorthIndian Asian Bakery Chinese European Japanese,1100.0,Dine-out,koramangala2ndblock koramangala4thblock
Bhojohori Manna,1,0,4.1,1959,CasualDining,Bengali Mughlai,650.0,Dine-out,koramangala6thblock koramangala4thblock
Indian Coffee House & Restaurant,0,0,4.2,676,CasualDining,SouthIndian NorthIndian Chinese,650.0,Dine-out,koramangala5thblock koramangala4thblock
Cafe D'hide,1,1,4.2,872,Cafe,Cafe American Continental Italian,600.0,Dine-out,koramangala5thblock koramangala4thblock
Oye Amritsar,1,1,4.0,1863,CasualDining,NorthIndian,600.0,Dine-out,koramangala6thblock koramangala4thblock
Sathya's,0,1,4.1,759,Bar,NorthIndian Chinese,1200.0,Dine-out,koramangala3rdblock koramangala4thblock
1722 Urban Bistro,1,1,4.1,222,CasualDining,NorthIndian Chinese FastFood Biryani,600.0,Dine-out,koramangala5thblock koramangala4thblock
Gudguda Prime Cafe,0,1,4.2,818,Cafe,Cafe Continental Chinese Italian,800.0,Dine-out,koramangala6thblock koramangala4thblock
The Local - Terrace Drinkery,0,0,4.0,1409,Pub CasualDining,Continental American Pizza BBQ,1000.0,Dine-out,koramangala6thblock koramangala4thblock
Peace Restaurant,1,0,3.9,660,CasualDining,Chinese Tibetan NorthIndian,500.0,Dine-out,koramangala5thblock koramangala4thblock
Cafe Terra,1,0,4.1,778,Cafe,Cafe Continental,700.0,Dine-out,koramangala1stblock koramangala4thblock
Baba Da Dhaba,0,1,4.1,450,CasualDining,NorthIndian,650.0,Dine-out,koramangala7thblock koramangala4thblock
Hyderabad Biryaani House,1,0,4.1,1117,CasualDining,Biryani NorthIndian Chinese Hyderabadi,750.0,Dine-out,koramangala5thblock koramangala4thblock
The Himalayan,0,1,4.4,325,CasualDining,Korean,1200.0,Dine-out,koramangala5thblock koramangala4thblock
Petoo,1,0,3.8,178,CasualDining,NorthIndian FastFood StreetFood,800.0,Dine-out,koramangala1stblock koramangala4thblock
Patiala Highway,1,0,3.7,32,CasualDining,NorthIndian,700.0,Dine-out,koramangala6thblock koramangala4thblock
Shanmukha,1,0,4.0,782,CasualDining,Biryani Andhra NorthIndian Chinese,800.0,Dine-out,koramangala5thblock koramangala4thblock
Beijing Bites,1,1,4.0,859,CasualDining,Chinese Thai,850.0,Dine-out,koramangala5thblock koramangala4thblock
Cafe Medley,1,0,4.2,1063,Cafe,Cafe Continental Burger,800.0,Dine-out,koramangala5thblock koramangala4thblock
Eagles Pizza,1,0,3.8,19,CasualDining,Pizza Italian,400.0,Dine-out,koramangala7thblock koramangala4thblock
52 Wall Street,0,0,3.9,740,Bar CasualDining,American Continental FingerFood,1400.0,Dine-out,koramangala6thblock koramangala4thblock
Bulls N Bears - Bar Trade Xchange,0,1,3.9,149,Pub Bar,FingerFood NorthIndian Continental Pizza,1000.0,Dine-out,koramangala5thblock koramangala4thblock
Waffle Magic,1,0,4.1,85,Cafe,Cafe Desserts,700.0,Dine-out,koramangala6thblock koramangala4thblock
Desipun,1,1,4.2,344,CasualDining,NorthIndian,700.0,Dine-out,koramangala5thblock koramangala4thblock
154 Breakfast Club,1,1,4.0,1512,Cafe,Cafe Continental,900.0,Dine-out,koramangala3rdblock koramangala4thblock
Lazeez,1,0,3.1,910,CasualDining,NorthIndian Mughlai Biryani,600.0,Dine-out,koramangala5thblock koramangala4thblock
Sharma's Malai & Masala,1,0,4.0,457,CasualDining,NorthIndian,650.0,Dine-out,koramangala1stblock koramangala4thblock
The Yellow Tuk-Tuk Cafe,1,0,3.6,16,Cafe,Cafe Continental Beverages,500.0,Dine-out,koramangala5thblock koramangala4thblock
The Vacationer's Cafe,1,0,4.1,306,Cafe,Cafe Continental Mexican,600.0,Dine-out,koramangala7thblock koramangala4thblock
7 Plates,1,0,3.7,259,CasualDining,Mughlai FastFood,750.0,Dine-out,koramangala5thblock koramangala4thblock
Bistro Oui,1,1,4.1,402,Cafe Bar,Cafe Continental Salad Steak,1200.0,Dine-out,koramangala5thblock koramangala4thblock
Cafe Graffiters,1,0,3.8,23,Cafe,Cafe Continental Beverages,600.0,Dine-out,koramangala5thblock koramangala4thblock
Chung Wah,1,0,4.0,314,CasualDining,Chinese Thai Momos Vietnamese,800.0,Dine-out,koramangala5thblock koramangala4thblock
Kargeens,1,0,4.1,992,Cafe,Cafe Continental Italian,600.0,Dine-out,koramangala6thblock koramangala4thblock
Rajdhani Thali Restaurant,1,1,4.0,797,CasualDining,NorthIndian,900.0,Dine-out,koramangala7thblock koramangala4thblock
Smally's Resto Cafe,1,1,4.2,1703,Cafe,Cafe Italian Burger American Steak,650.0,Dine-out,koramangala5thblock koramangala4thblock
Tilt Gastro Lounge,0,1,4.1,1236,Lounge CasualDining,Continental American NorthIndian Chinese,1500.0,Dine-out,koramangala5thblock koramangala4thblock
Mustard Cafe,1,0,4.1,893,Cafe,Cafe Continental Burger Salad HealthyFood Italian,800.0,Dine-out,koramangala3rdblock koramangala4thblock
Drunkling - Sizzlers and Pub,1,1,4.4,345,CasualDining Bar,Chinese Continental NorthIndian Burger Pizza Seafood,1000.0,Dine-out,koramangala5thblock koramangala4thblock
Mani's Dum Biryani,1,0,3.9,375,CasualDining,Biryani,750.0,Dine-out,koramangala1stblock koramangala4thblock
JukeBox,0,1,3.9,283,CasualDining Bar,Continental Parsi Chinese NorthIndian Italian Steak,1000.0,Dine-out,koramangala7thblock koramangala4thblock
Meenu Oota Da Maane,1,1,4.2,294,CasualDining,Seafood Mangalorean Chinese,800.0,Dine-out,koramangala5thblock koramangala4thblock
Sukh Sagar,1,0,3.8,473,CasualDining,SouthIndian NorthIndian Chinese StreetFood,500.0,Dine-out,koramangala5thblock koramangala4thblock
Tunday Kababi,1,0,3.9,1142,CasualDining,NorthIndian Kebab,500.0,Dine-out,koramangala5thblock koramangala4thblock
Barbeque Delight,1,0,3.8,66,CasualDining,Arabian Kerala NorthIndian Chinese BBQ,800.0,Dine-out,koramangala5thblock koramangala4thblock
Fabindia Cafe,0,0,4.2,224,Cafe,Cafe StreetFood,200.0,Dine-out,koramangala2ndblock koramangala4thblock
Smoke - The Sizzler House,1,1,4.0,1389,CasualDining,Continental Chinese Thai Italian BBQ Steak,1100.0,Dine-out,koramangala7thblock koramangala4thblock
China Bowl,1,0,3.9,455,CasualDining,Chinese,1000.0,Dine-out,koramangala6thblock koramangala4thblock
Zingron,1,0,4.0,515,CasualDining,Chinese Naga,750.0,Dine-out,koramangala7thblock koramangala4thblock
Fresh Pressery Cafe,1,0,4.1,141,Cafe,Cafe HealthyFood Salad Beverages Desserts,1200.0,Dine-out,koramangala5thblock koramangala4thblock
Aalishan Restaurant & Caterer,1,0,3.5,888,CasualDining,NorthIndian Mughlai,650.0,Dine-out,koramangala7thblock koramangala4thblock
Aami Bangali,1,0,3.6,73,CasualDining,Bengali,700.0,Dine-out,koramangala5thblock koramangala4thblock
Dalma,1,0,3.9,475,CasualDining,Oriya,600.0,Dine-out,koramangala6thblock koramangala4thblock
Gorilla Barfare,0,0,4.2,270,Pub CasualDining,Continental Pizza Burger,1400.0,Dine-out,koramangala6thblock koramangala4thblock
Over The Top Terrace Lounge,0,1,3.9,1389,Lounge,Continental NorthIndian,1400.0,Dine-out,koramangala5thblock koramangala4thblock
Wild Thyme Restaurant,0,0,4.5,42,CasualDining,Chinese Continental NorthIndian Italian Seafood,800.0,Dine-out,koramangala5thblock koramangala4thblock
Naati Manae,1,1,3.9,484,CasualDining,NorthIndian SouthIndian Chinese Biryani,700.0,Dine-out,koramangala5thblock koramangala4thblock
Sherlock's Pub,0,1,3.9,589,Pub CasualDining,Continental NorthIndian Chinese,1300.0,Dine-out,koramangala5thblock koramangala4thblock
Popsies,1,0,3.9,823,CasualDining,Chinese Momos,750.0,Dine-out,koramangala5thblock koramangala4thblock
Punjabi Nawabi,1,0,4.0,107,CasualDining,NorthIndian,500.0,Dine-out,koramangala1stblock koramangala4thblock
Saara's Cafe - SS Lumina Hotel,0,1,4.2,117,CasualDining,NorthIndian SouthIndian Chinese Arabian,800.0,Dine-out,koramangala7thblock koramangala4thblock
Tata Cha,1,0,3.7,31,Cafe,Cafe Tea NorthIndian,500.0,Dine-out,koramangala7thblock koramangala4thblock
Tandoor Hut,1,0,4.1,1003,CasualDining,NorthIndian Mughlai Chinese Rolls,700.0,Dine-out,koramangala5thblock koramangala4thblock
Vitamin Palace,0,0,4.1,172,Cafe,Cafe Beverages HealthyFood Juices,650.0,Dine-out,koramangala7thblock koramangala4thblock
TRIGEREATO,1,1,4.4,102,Cafe,Cafe Continental Beverages,700.0,Dine-out,koramangala8thblock koramangala4thblock
Tetto,1,0,3.7,130,CasualDining Bar,Continental,1200.0,Dine-out,koramangala1stblock koramangala4thblock
The Yogisthaan Cafe,1,0,4.1,61,Cafe,Cafe HealthyFood Salad Beverages,600.0,Dine-out,koramangala2ndblock koramangala4thblock
Go Italia,1,0,4.0,781,CasualDining,Italian Pizza FastFood Salad,750.0,Dine-out,koramangala6thblock koramangala4thblock
The Underground Gastropub,0,0,3.0,38,Pub,FingerFood,1000.0,Dine-out,koramangala5thblock koramangala4thblock
Polamma's Mess,0,0,3.7,25,Mess,NorthIndian Chinese Biryani,300.0,Dine-out,koramangala7thblock koramangala4thblock
Smokey Tribe Restaurant,1,0,3.8,267,CasualDining,NorthEastern Chinese,650.0,Dine-out,koramangala7thblock koramangala4thblock
Jimi's Beer Cafe,0,0,3.8,674,Pub,American NorthIndian Chinese,1700.0,Dine-out,koramangala6thblock koramangala4thblock
12th Main - Grand Mercure,0,1,4.1,354,FineDining,European Asian,2000.0,Dine-out,koramangala3rdblock koramangala4thblock
Maxpresso,0,0,4.1,324,Cafe,Cafe American Italian Beverages,700.0,Dine-out,koramangala7thblock koramangala4thblock
Bangaliana,1,0,3.9,453,CasualDining,Bengali,600.0,Dine-out,koramangala7thblock koramangala4thblock
Chai Galli,1,0,4.4,480,Cafe,Cafe Tea StreetFood,450.0,Dine-out,koramangala5thblock koramangala4thblock
Shree Thali,0,0,4.1,183,Mess,NorthIndian,150.0,Dine-out,koramangala5thblock koramangala4thblock
Chai Point,0,0,4.0,293,BeverageShop QuickBites,Tea Beverages FastFood,250.0,Dine-out,koramangala6thblock koramangala4thblock
Saara's Grill n Spice - SS Lumina Hotel,0,1,4.3,105,CasualDining,NorthIndian Arabian Beverages,1000.0,Dine-out,koramangala7thblock koramangala4thblock
Barbeque Station,1,0,2.8,152,CasualDining,NorthIndian Chinese BBQ,700.0,Dine-out,koramangala7thblock koramangala4thblock
Haji Ali Juice Centre,1,0,4.0,152,BeverageShop QuickBites,Beverages FastFood Desserts,350.0,Dine-out,koramangala5thblock koramangala4thblock
Little Lucknow,1,1,4.0,236,CasualDining,Mughlai NorthIndian,800.0,Dine-out,koramangala5thblock koramangala4thblock
Mars Chicken Delight,0,0,3.7,107,CasualDining,NorthIndian Chinese Biryani Beverages,500.0,Dine-out,koramangala1stblock koramangala4thblock
Embers - Nandhana Grand Hotel,0,0,3.8,38,CasualDining,NorthIndian SouthIndian Thai Chinese Continental,900.0,Dine-out,koramangala6thblock koramangala4thblock
Black Kitchen,1,0,3.7,26,QuickBites,Kerala SouthIndian,400.0,Dine-out,koramangala6thblock koramangala4thblock
Hotel Parampare,1,0,2.9,13,CasualDining,NorthIndian Mughlai Biryani,600.0,Dine-out,koramangala7thblock koramangala4thblock
Chaat Street,1,0,4.0,293,Kiosk,StreetFood NorthIndian,250.0,Dine-out,koramangala6thblock koramangala4thblock
Gam's Delicacy,1,1,4.2,325,CasualDining,NorthIndian Chinese Assamese,800.0,Dine-out,koramangala7thblock koramangala4thblock
Grand Gowdru Hotel,1,0,3.4,31,CasualDining,SouthIndian NorthIndian Chinese,700.0,Dine-out,koramangala6thblock koramangala4thblock
Namaste Kitchen,1,0,3.8,172,CasualDining,NorthIndian SouthIndian Chinese,550.0,Dine-out,koramangala5thblock koramangala4thblock
Pingara,1,0,3.8,94,CasualDining,NorthIndian Chinese Mangalorean,600.0,Dine-out,koramangala1stblock koramangala4thblock
Hakka Chinese Restaurant,1,0,3.9,331,CasualDining,Chinese Thai,600.0,Dine-out,koramangala1stblock koramangala4thblock
Mustard Food Court,1,0,3.6,165,CasualDining,NorthIndian Chinese,500.0,Dine-out,koramangala3rdblock koramangala4thblock
Cafemoto,1,0,4.0,201,Cafe,Cafe Continental Italian Burger,800.0,Dine-out,koramangala5thblock koramangala4thblock
Hotel Tom's Restaurant,1,0,4.1,67,CasualDining,Mangalorean Seafood Chinese NorthIndian,1000.0,Dine-out,koramangala6thblock koramangala4thblock
Punjabi Chulha,1,0,3.8,38,CasualDining,NorthIndian,500.0,Dine-out,koramangala1stblock koramangala4thblock
Banana Beach Bar,1,1,3.7,1014,Bar,Continental Chinese,1300.0,Dine-out,koramangala6thblock koramangala4thblock
Bansuri Sweets,0,0,3.7,73,SweetShop QuickBites,Mithai NorthIndian StreetFood,250.0,Dine-out,koramangala6thblock koramangala4thblock
WTF,1,0,4.1,93,Cafe,Cafe Continental,600.0,Dine-out,koramangala5thblock koramangala4thblock
Breaktime Brew,1,0,3.7,24,Cafe,Cafe,550.0,Dine-out,koramangala7thblock koramangala4thblock
The Paramount Hotel,1,0,3.6,242,CasualDining,NorthIndian Seafood Biryani Kerala,1000.0,Dine-out,koramangala5thblock koramangala4thblock
North Indian And Bengali Mess,0,0,3.7,34,Mess,NorthIndian Bengali,300.0,Dine-out,koramangala5thblock koramangala4thblock
Cashmere Nites,1,0,3.5,74,CasualDining,Kashmiri,600.0,Dine-out,koramangala6thblock koramangala4thblock
Momo Rice Noodles,1,0,3.8,222,CasualDining,Chinese Momos,600.0,Dine-out,ejipura koramangala4thblock
Maria's Goan Kitchen,1,0,3.9,394,CasualDining,Goan Chinese Biryani,750.0,Dine-out,koramangala7thblock koramangala4thblock
Entropy Cafe,1,0,4.1,505,Cafe,Cafe Chinese Pizza NorthIndian Burger,600.0,Dine-out,koramangala6thblock koramangala4thblock
Thalassery Restaurant,1,0,3.7,382,CasualDining,Kerala Biryani SouthIndian NorthIndian Chinese Seafood Juices,600.0,Dine-out,koramangala5thblock koramangala4thblock
Smoke-A-Pot,0,0,3.3,10,Takeaway Delivery,Biryani Kebab Rolls,600.0,Dine-out,koramangala5thblock koramangala4thblock
V.S. Garden Restaurant,0,0,3.5,17,CasualDining,NorthIndian Chinese,800.0,Dine-out,ejipura koramangala4thblock
Mayura Grand,0,0,3.5,20,CasualDining,SouthIndian NorthIndian,400.0,Dine-out,koramangala6thblock koramangala4thblock
Bun Town,1,0,3.8,22,Cafe,Cafe Bakery,500.0,Dine-out,koramangala5thblock koramangala4thblock
Taruni Andhra Mess,0,0,3.6,23,Mess,Andhra,200.0,Dine-out,koramangala5thblock koramangala4thblock
Flavor of Tibet,0,0,4.0,57,CasualDining,Tibetan,500.0,Dine-out,koramangala5thblock koramangala4thblock
Billionaires Cafe,0,0,3.8,47,Cafe,Cafe Italian,600.0,Dine-out,koramangala5thblock koramangala4thblock
